Run: 0
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000697, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 151 
alpha_j: 0.000152, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.000129, p_j: 0.001225, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000107, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
alpha_j: 0.000091, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 7, found best: 7, queries: 200 
alpha_j: 0.000079, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.014463, p_j: 0.232755, rej: 0 
The hyp is : 1
true best: 3, found best: 3, queries: 69 
alpha_j: 0.003145, p_j: 0.000702, rej: 1 
The hyp is : 1
true best: 3, found best: 3, queries: 200 
alpha_j: 0.025949, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 1, found best: 1, queries: 200 
alpha_j: 0.005643, p_j: 1.000000, rej: 0 
The hyp is : 0
true best: 0, found best: 0, queries: 197 
alpha_j: 0.004806, p_j: 1.000000, rej: 0 
The hyp is : 1
true best: 5, found best: 5, queries: 89 
alpha_j: 0.003997, p_j: 0.000586, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 200 
alpha_j: 0.034259, p_j: 0.097573, rej: 0 
The hyp is : 1
true best: 6, found best: 6, queries: 200 
alpha_j: 0.007450, p_j: 0.000000, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 135 
alpha_j: 0.042385, p_j: 0.003548, rej: 1 
The hyp is : 1
true best: 2, found best: 2, queries: 59 
alpha_j: 0.050417, p_j: 0.016547, rej: 1 
The hyp is : 1
true best: 5, found best: 5, queries: 200 
alpha_j: 0.057330, p_j: 0.023597, rej: 1 
The hyp is : 0
true best: 0, found best: 0, queries: 200 
